,directive,parameter
0,User-agent,*
1,Disallow,/search
2,Allow,/search/about
3,Allow,/search/static
4,Allow,/search/howsearchworks
5,Disallow,/sdch
6,Disallow,/groups
7,Disallow,/index.html?
8,Disallow,/?
9,Allow,/?hl=
10,Disallow,/?hl=*&amp;
11,Allow,/?hl=*&amp;gws_rd=ssl$
12,Disallow,/?hl=*&amp;*&amp;gws_rd=ssl
13,Allow,/?gws_rd=ssl$
14,Allow,/?pt1=true$
15,Disallow,/imgres
16,Disallow,/u/
17,Disallow,/preferences
18,Disallow,/setprefs
19,Disallow,/default
20,Disallow,/m?
21,Disallow,/m/
22,Allow,/m/finance
23,Disallow,/wml?
24,Disallow,/wml/?
25,Disallow,/wml/search?
26,Disallow,/xhtml?
27,Disallow,/xhtml/?
28,Disallow,/xhtml/search?
29,Disallow,/xml?
30,Disallow,/imode?
31,Disallow,/imode/?
32,Disallow,/imode/search?
33,Disallow,/jsky?
34,Disallow,/jsky/?
35,Disallow,/jsky/search?
36,Disallow,/pda?
37,Disallow,/pda/?
38,Disallow,/pda/search?
39,Disallow,/sprint_xhtml
40,Disallow,/sprint_wml
41,Disallow,/pqa
42,Disallow,/palm
43,Disallow,/gwt/
44,Disallow,/purchases
45,Disallow,/local?
46,Disallow,/local_url
47,Disallow,/shihui?
48,Disallow,/shihui/
49,Disallow,/products?
50,Disallow,/product_
51,Disallow,/products_
52,Disallow,/products;
53,Disallow,/print
54,Disallow,/books/
55,Disallow,/bkshp?*q=*
56,Disallow,/books?*q=*
57,Disallow,/books?*output=*
58,Disallow,/books?*pg=*
59,Disallow,/books?*jtp=*
60,Disallow,/books?*jscmd=*
61,Disallow,/books?*buy=*
62,Disallow,/books?*zoom=*
63,Allow,/books?*q=related:*
64,Allow,/books?*q=editions:*
65,Allow,/books?*q=subject:*
66,Allow,/books/about
67,Allow,/booksrightsholders
68,Allow,/books?*zoom=1*
69,Allow,/books?*zoom=5*
70,Allow,/books/content?*zoom=1*
71,Allow,/books/content?*zoom=5*
72,Disallow,/ebooks/
73,Disallow,/ebooks?*q=*
74,Disallow,/ebooks?*output=*
75,Disallow,/ebooks?*pg=*
76,Disallow,/ebooks?*jscmd=*
77,Disallow,/ebooks?*buy=*
78,Disallow,/ebooks?*zoom=*
79,Allow,/ebooks?*q=related:*
80,Allow,/ebooks?*q=editions:*
81,Allow,/ebooks?*q=subject:*
82,Allow,/ebooks?*zoom=1*
83,Allow,/ebooks?*zoom=5*
84,Disallow,/patents?
85,Disallow,/patents/download/
86,Disallow,/patents/pdf/
87,Disallow,/patents/related/
88,Disallow,/scholar
89,Disallow,/citations?
90,Allow,/citations?user=
91,Disallow,/citations?*cstart=
92,Allow,/citations?view_op=new_profile
93,Allow,/citations?view_op=top_venues
94,Allow,/scholar_share
95,Disallow,/s?
96,Allow,/maps?*output=classic*
97,Allow,/maps?*file=
98,Allow,/maps/d/
99,Disallow,/maps?
100,Disallow,/mapstt?
101,Disallow,/mapslt?
102,Disallow,/maps/stk/
103,Disallow,/maps/br?
104,Disallow,/mapabcpoi?
105,Disallow,/maphp?
106,Disallow,/mapprint?
107,Disallow,/maps/api/js/
108,Allow,/maps/api/js
109,Disallow,/maps/api/place/js/
110,Disallow,/maps/api/staticmap
111,Disallow,/maps/api/streetview
112,Disallow,/maps/_/sw/manifest.json
113,Disallow,/mld?
114,Disallow,/staticmap?
115,Disallow,/maps/preview
116,Disallow,/maps/place
117,Disallow,/maps/timeline/
118,Disallow,/help/maps/streetview/partners/welcome/
119,Disallow,/help/maps/indoormaps/partners/
120,Disallow,/lochp?
121,Disallow,/center
122,Disallow,/ie?
123,Disallow,/blogsearch/
124,Disallow,/blogsearch_feeds
125,Disallow,/advanced_blog_search
126,Disallow,/uds/
127,Disallow,/chart?
128,Disallow,/transit?
129,Allow,/calendar$
130,Allow,/calendar/about/
131,Disallow,/calendar/
132,Disallow,/cl2/feeds/
133,Disallow,/cl2/ical/
134,Disallow,/coop/directory
135,Disallow,/coop/manage
136,Disallow,/trends?
137,Disallow,/trends/music?
138,Disallow,/trends/hottrends?
139,Disallow,/trends/viz?
140,Disallow,/trends/embed.js?
141,Disallow,/trends/fetchComponent?
142,Disallow,/trends/beta
143,Disallow,/trends/topics
144,Disallow,/musica
145,Disallow,/musicad
146,Disallow,/musicas
147,Disallow,/musicl
148,Disallow,/musics
149,Disallow,/musicsearch
150,Disallow,/musicsp
151,Disallow,/musiclp
152,Disallow,/urchin_test/
